numero_partido,votos_legenda,nome_partido,sigla_partido
25,64,Democratas,DEM
23,542,Cidadania,CIDADANIA
27,34,Democracia Cristã,DC
65,18,Partido Comunista do Brasil,PC do B
12,167,Partido Democrático Trabalhista,PDT
11,77,PROGRESSISTAS,PP
55,417,Partido Social Democrático,PSD
28,217,Partido Renovador Trabalhista Brasileiro,PRTB
17,49,Partido Social Liberal,PSL
40,34,Partido Socialista Brasileiro,PSB
33,34,Partido da Mobilização Nacional,PMN
36,38,Partido Trabalhista Cristão,PTC
13,79,Partido dos Trabalhadores,PT
45,19,Partido da Social Democracia Brasileira,PSDB
18,33,Rede Sustentabilidade,REDE
77,134,Solidariedade,SOLIDARIEDADE
10,91,REPUBLICANOS,REPUBLICANOS
19,28,Podemos,PODE
51,5,Patriota,PATRIOTA
