numero_partido,votos_legenda,nome_partido,sigla_partido
25,18,Democratas,DEM
12,35,Partido Democrático Trabalhista,PDT
11,31,PROGRESSISTAS,PP
65,8,Partido Comunista do Brasil,PC do B
55,29,Partido Social Democrático,PSD
17,225,Partido Social Liberal,PSL
40,166,Partido Socialista Brasileiro,PSB
14,18,Partido Trabalhista Brasileiro,PTB
50,18,Partido Socialismo e Liberdade,PSOL
13,13,Partido dos Trabalhadores,PT
45,14,Partido da Social Democracia Brasileira,PSDB
33,19,Partido da Mobilização Nacional,PMN
19,16,Podemos,PODE
23,85,Cidadania,CIDADANIA
27,32,Democracia Cristã,DC
70,8,AVANTE,AVANTE
